ligand,code1,code2
c1c(cc(c(c1/C=C/2\C(=O)N(C(=S)S2)CC(=O)[O-])O)Cl)Br,C09296625,P14246847
Cc1c(ccc2c1N[C@H]([C@@H]3[C@@H]2C=CC3)c4ccc(cc4)S(=O)(=O)N5CCOCC5)C(=O)[O-],C06177643,P19214911
C[C@H](C(=O)[O-])N1C(=O)/C(=C\c2cc(c(c(c2)Br)O)OC)/SC1=S,C13387816,P20572608
c1cc(ccc1[N-]S(=O)(=O)c2ccc3c(c2)S(=O)(=O)NC=N3)Br,C15682366,P23665388
c1cc(cc(c1)Cl)/C=C/2\C(=O)c3ccc(c(c3O2)CN4CCN(CC4)CCO)[O-],C19371569,P28649604
c1cc(ccc1c2ccc(c(n2)[O-])C(=O)NCc3nnc4n3CCCCC4)Cl,C19718210,P29247971
[H]/N=C\1/C(=C\c2ccc(cc2)[O-])/C(=O)N=C3N1N=C(S3)C45CC6CC(C4)CC(C6)C5,C16266165,P30145633
Cc1c(sc(n1)N2[C@@H](C(=C(C2=O)[O-])C(=O)c3cccs3)c4ccc(cc4)O)C,C06812801,P30213166
CC1(Cc2c(c(nc3c2c4c(s3)c([nH]c(=S)n4)[O-])N5CCOCC5)CO1)C,C17196745,P30329628
Cc1nc2c(c(n1)[O-])[C@H](CC(=O)N2)c3ccc(c(c3)OC)OCc4ccccc4F,C08995353,P30673066
c1ccc(cc1)CN2CCc3c(sc4c3c5nnc(n5c6n4c(=S)[nH]n6)[S-])C2,C20813402,P31057096
Cn1c(c(c(=O)n(c1=O)C)C2=C[C@@H](Sc3ccccc3N2)c4ccncc4)[O-],C20899064,P31217286
Cc1nc2n(n1)c(c(s2)[C@H](c3ccccc3Cl)N4CCN(CC4)CCO)[O-],C22468522,P33396422
Cc1cc(no1)N2[C@@H](C(=C(C2=O)[O-])C(=O)c3c(c([nH]c3C)C)C)c4ccccc4,C25107525,P37131981
CC(C)COc1c(cc(cc1Br)/C=C/2\C(=O)NC(=S)N=C2[O-])OC,C27531999,P40572362
COc1cc(ccc1OCc2ccc(cc2)Cl)/C=C\3/C(=O)NC(=O)N=C3[O-],C09348914,P48035257
c1ccc2c(c1)[C@@H](OC2=O)c3c(=O)[nH]c(=O)n(c3[O-])c4ccc(cc4)Br,C17086538,P49538450
CC(=O)O[C@H]1CC[C@]2([C@@H]3CC[C@@]4([C@@H](CC=C4[C@@H]3CC[C@@]2(C1)O)C5=CC(=O)OC5)C)C(=O)[O-],C33669465,P49883549
CS(=O)(=O)[N-]c1cc(ccc1F)NCc2ccc(o2)I,C37312784,P55499365
Cc1cc(c(c2c1C(=O)/C(=C\c3cccs3)/O2)CN4CCN(CC4)CCO)[O-],C37857480,P56301794
c1cc(cnc1)c2nc([n-]n2)SCC(=O)Nc3ccc(cc3)Br,C05522286,P56649433
COc1cccc(c1)[C@@H]2c3c(n[nH]c3C(=O)N2Cc4cccnc4)c5ccccc5[O-],C06744619,P56723788
c1cc2nncn2nc1N/N=C/c3cc(cc(c3[O-])Br)Br,C38183279,P60317769
Cc1nc([n-]n1)SCC(=O)N[C@@H]2N=C(CS2)c3ccc(cc3)Br,C39959878,P60639563
Cc1c(c(=O)n(n1C)c2ccccc2)/N=C(/C(=C\c3c[nH]c4c3cccc4)/C#N)\[O-],C40570564,P61606346
c1cc(c(cc1Br)[N-]S(=O)(=O)c2ccc(=O)[nH]c2)Br,C40829303,P61986449
c1cc(c(cc1I)Cl)[N-]S(=O)(=O)N2CCNCC2,C40861078,P62040150
Cc1cc(c(c(c1)Br)NS(=O)(=O)[C@H](C)C(=O)[O-])Br,C42521959,P64313899
CC1(CC2=C([C@H](n3c(ncn3)N2)c4cc(c(c(c4)Br)[O-])OC)C(=O)C1)C,C09971067,P75611256
c1cc(cc(c1)Br)/C=C/2\C(=O)N(C(=S)S2)[C@@H](CC(=O)O)C(=O)[O-],C32707993,P86253698
Cc1c(c([nH]n1)/N=C/C2=C(C[C@@H](CC2=O)c3ccco3)[O-])c4ccccc4OC,C17079902,P89999929
COc1c(cc(cc1Br)/C=C/2\C(=O)NC(=O)N=C2[O-])Br,C59426351,P90411792
c1ccc(cc1)[C@@H]2CC(=O)N=C([N-]2)SCC(=O)Nc3cc(cc(c3)Cl)Cl,C59941694,P91433358
Cc1cc(c(c(c1)C2=NN=C3[C@@H]2[C@@H](N(C3=O)Cc4cccnc4)c5cccc(c5)O)[O-])C,C09293090,P97230016
Cc1ccc(c(c1)C)N2CCN(CC2)C(=O)[C@@H]3Nc4ccccc4S(=O)(=O)[N-]3,C64959810,P99813196
CC(=O)[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)C(=C)[C@@H]([C@]34C)O)C)CC(=O)[O-],C66339988,P102016113
CC(C)n1c(nnc1[S-])CNC(=O)/C=C/c2ccc3ccc(cc3n2)Cl,C67071517,P103060976
CC\1=NN(C(=O)/C1=C(\C(F)(F)F)/N/N=C(/c2ccncc2)\[O-])c3ccccc3,C17087255,P105439100
c1cc(c(cc1I)Cl)[N-]S(=O)(=O)c2c[nH]ccc2=O,C71224390,P109979465
COc1ccc(cc1)S(=O)(=O)[N-]NC(=O)[C@H]2Cc3c4ccccc4ccc3O2,C01394589,P126190212
c1cc(c(cc1[N+](=O)[O-])Br)c2ccc(o2)[C@H]3N[C@@H](CS3)C(=O)[O-],C83236655,P130091836
c1cc2c(cc1I)occ(c2=O)/C=N\c3cc(=O)[nH]c(n3)[O-],C02322051,P130276987
Cc1cn(nc1NC(=O)C(=O)N(C)Cc2ccccc2[O-])c3ccccc3Cl,C92237254,P144420119
COc1cc(cc(c1[O-])Br)CN2CCO[C@@H](C2)c3cccc(c3)O,C93457669,P146353321
c1ccc(c(c1)S(=O)(=O)/N=C(/c2cc(c(=O)[nH]c2)Cl)\[O-])Br,C54429106,P149780409
Cc1cc(=O)c(c(o1)[C@H](c2c(cccc2Cl)F)c3c(c(=O)cc(o3)C)[O-])O,C95472463,P149978108
c1ccc(c(c1)[N-]S(=O)(=O)c2ccc3c(c2)NC(=O)[C@@H](S3)C(=O)N4CCCC4)F,C65021401,P151953050
CNC(=O)Cn1c2cc(c(cc2nc1SCC(=O)[O-])I)F,C97407646,P154278419
c1cc2c(cc1Br)c(=O)c(co2)/C=C\C=C\3/C(=O)NC(=S)N=C3[O-],C33616262,P154383320
CC1([C@@H]2CC[C@]1(C(=O)C2)CS(=O)(=O)[N-]c3nc4c(s3)C(=O)NCCC4)C,C98310830,P156375574
c1ccc(cc1)/C=N/N2CC(=O)N3Cc4c(c5ccccc5[nH]4)C[C@@H]3C2=O,C04045494,P05030962
c1ccc(cc1)N2C(=O)/C(=C/c3ccc(o3)Br)/C(=O)NC2=O,C01200607,P05898474
Cc1c(sc2c1c(=O)[nH]c(n2)Cn3cnc4ccccc4c3=O)C,C03303120,P08654124
Cc1c2c(ccc3c2[C@H](CC(O3)(C)C)O)oc1C(=O)N4CCOCC4,C06940554,P10930883
Cc1[nH]c(=O)c2c(n1)[C@H]3CN(C[C@H]3CC2)C(=O)c4c5ccccc5ccn4,C12120042,P17844367
COc1cc2c(cc1OC)[C@H]3C/C(=N\O)/C4=C(N3CC2)CCCC4=O,C12656450,P18609227
CC(C)n1c2c(c3c(cn2)C(=O)C[C@@H](C3)c4cccs4)c(=O)[nH]c1=O,C19962277,P29698290
Cc1nc([nH]n1)Cn2cnc3c(c2=O)c4c(s3)CCCCCC4,C32577688,P48215263
C[NH+]1CCN(CC1)[C@H](c2ccccc2)c3c(n4c(s3)ncn4)[O-],C22031125,P54060820
c1ccc(cc1)N2C(=O)/C(=C/c3coc4ccccc4c3=O)/C(=O)N2,C00429842,P56345453
CCNC(=O)N1c2ccc(cc2C3(C1=O)OCCO3)Br,C00298186,P56376117
C[C@H]1CCCN(C1)C(=O)CN2C(=O)[C@]3(C[C@@H](CC(C3)(C)C)C)NC2=O,C39544251,P59946124
c1ccc(cc1)N2C(=O)/C(=C/[C@@H]3C=c4ccccc4=[NH+]C3=O)/C(=N2)[O-],C39948492,P60621082
