Participant ID,rank,smiles,Enamine catalog ID,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,Vina Score,Pharmaco score,smiles_match_experimental,similar_to,similarity_scores,bad_apples
1972,,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)c1cccc(Cn2ccnn2)c1,Z2621742679,375.47601,3.628351,,wim pharmacophore,,1.0,,,,0.0,,,High pScore
1972,,C[C@@H]1CCC[N@H+](Cc2ccc(NC(=O)c3cccc(Cn4ccnn4)c3)cc2)C1,Z2622538469,389.50299,3.9933236,,wim pharmacophore,,1.0,,,,0.0,,,High pScore
1972,,O=C(Nc1cccc(CN2CCCC2)c1)c1cccc(Cc2nnn[nH]2)c1,Z4412381053,362.43701,1.2274364,,wim pharmacophore,,1.0,,,,0.0,Z2911313247,0.91,High pScore
1972,,O=C(Nc1cccc(Cc2nnn[nH]2)c1)c1cccc(CN2CCCC2)c1,Z2911313247,362.43701,1.8583512,,wim pharmacophore,,1.0,,,,0.0,Z4412381053,0.91,High pScore
1972,,C[C@@H]([NH3+])c1cccc(NC(=O)c2cn(C)cc2C(F)(F)F)c1,Z4055617186,312.315,2.5991,,classifier REAL + MMGBSA + amine,-42.34,,,,,0.0,,,High pScore
1972,,CC1CC[NH+](Cc2ccc(NC(=O)Nc3c(F)cccc3N3CCCC3)cc2)CC1,m_2430bbb____22522640____22582702,411.542,3.885,,infinisee REAL + MMGBSA + amine,-45.91,,,,,0.0,,,High pScore
1972,,CN1CC[NH+](Cc2ccc(NC(=O)Nc3c(F)cccc3N3CCCC3)cc2C(F)(F)F)CC1,m_2430bbb____22522640____22586956,481.535,2.002,,infinisee REAL + MMGBSA + amine,-49.85,,,,,0.0,m_2430bbb____22522640____22586828,0.83,High pScore
1972,,CN1CC[NH+](Cc2ccc(NC(=O)Nc3cc(Cl)ccc3N3CCCC3)cc2C(F)(F)F)CC1,m_2430dbb____7208362____22586956,497.99,2.516,,infinisee REAL + MMGBSA + amine,-52.78,,,,,0.0,m_2430dbb____7208362____22586828,0.84,High pScore
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)C(=O)N(C)Cc3ccccc3N3CCCC3)c2)CC1,m_271948baa____9942338____9912196,463.642,2.376,,infinisee REAL + MMGBSA + amine,-25.93,,,,,0.0,,,High pScore
1972,,CCN(Cc1cccc(NC(=O)Nc2ccc(Cl)c(C[NH+]3CCCCC3)c2)c1)C(C)=O,m_2430bbb____6493264____22585254,443.996,3.921,,infinisee REAL + MMGBSA + amine,-60.64,,,,,0.0,,,High pScore
1972,,CC1CC[NH+](Cc2ccccc2CN2C(=O)CCN(Cc3ccccc3N3CCCC3)C2=O)CC1,m_277130aaa____15465172____15468200____14751406,475.653,3.456,,infinisee REAL + MMGBSA + amine,-46.7,,,,,0.0,,,High pScore
1972,,CN(Cc1ccccc1N1CCCC1)C(=O)C(=O)Nc1cccc(CC[NH+]2CCCC2)c1,m_2718bba____1024862____8166374,435.589,2.105,,infinisee REAL + MMGBSA + amine,-35.4,,,,,0.0,,,High pScore
