Original_SMILES,New_SMILES,ID,Catalog ID,Collection,"Price(3 umol), USD",Lead time,canonical_smiles,most_similar_index,tanimoto_similarity,compound_rank,Enamine catalog ID_q,Participant ID,rank,smiles,Enamine catalog ID_local,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,similar_to,similarity_scores,bad_apples
NC1CCCC21CCN(CC2)C=3C=CC(=CN3)C(=O)NC4=NN=CS4,NC1CCCC21CCN(CC2)C=3C=CC(=CN3)C(=O)NC4=NN=CS4,C-1972-01,Z3493571017,sRDB,83.2,5-6 weeks,NC1CCCC12CCN(c1ccc(C(=O)Nc3nncs3)cn1)CC2,0.0,1.0,1,Z3493571017,1972,1,NC1CCCC11CCN(CC1)C1=CC=C(C=N1)C(=O)NC1=NN=CS1,Z3493571017,,,y,pubchem pharmit - closest match infinisee,-999.0,1.0,,,,No pScore
CC=1C=C(C)C=C(C1)C(=O)NC=2C=C(C=CC2OCC(F)(F)F)S(=O)(=O)N3CCCC3,CC=1C=C(C)C=C(C1)C(=O)NC=2C=C(C=CC2OCC(F)(F)F)S(=O)(=O)N3CCCC3,C-1972-02,Z28425221,HTS,12.7,2-3 weeks,Cc1cc(C)cc(C(=O)Nc2cc(S(=O)(=O)N3CCCC3)ccc2OCC(F)(F)F)c1,1.0,1.0,2,Z28425221,1972,2,Cc1cc(C)cc(C(=O)Nc2cc(S(=O)(=O)N3CCCC3)ccc2OCC(F)(F)F)c1,Z28425221,456.486,4.28134,y,vina + fingerprints,-999.0,1.0,,,,No pScore
O=C(NCC1=NC(=CN1)C=2C=CC=C(C#N)C2)C3CCC4CCCCC4C3,O=C(NCC1=NC(=CN1)C=2C=CC=C(C#N)C2)C3CCC4CCCCC4C3,C-1972-03,Z1549121910,HTS,12.7,2-3 weeks,N#Cc1cccc(-c2c[nH]c(CNC(=O)C3CCC4CCCCC4C3)n2)c1,2.0,1.0,3,Z1549121910,1972,3,N#Cc1cccc(-c2c[nH]c(CNC(=O)C3CCC4CCCCC4C3)n2)c1,Z1549121910,362.477,4.17108,y,vina + fingerprints,-999.0,1.0,,,,No pScore
CN1CCCC=2C=C(CNC(=O)NC3=NC(=NS3)C=4C=CC=CC4)C=CC12,CN1CCCC=2C=C(CNC(=O)NC3=NC(=NS3)C=4C=CC=CC4)C=CC12,C-1972-04,Z940677828,HTS,12.7,2-3 weeks,CN1CCCc2cc(CNC(=O)Nc3nc(-c4ccccc4)ns3)ccc21,3.0,0.5436893203883500,4,Z940677828,1972,4,CN1CCCc2cc(CNC(=O)NC3N=C(c4ccccc4)NS3)ccc21,Z940677828,381.505,2.85,y,vina + fingerprints,-999.0,1.0,,,,No pScore
CC1(NC(=O)NC1=O)C=2C=CC=C(NC(=O)C=3C=CC=4OCOC4C3)C2,CC1(NC(=O)NC1=O)C=2C=CC=C(NC(=O)C=3C=CC=4OCOC4C3)C2,C-1972-05,Z424328864,HTS,12.7,2-3 weeks,CC1(c2cccc(NC(=O)c3ccc4c(c3)OCO4)c2)NC(=O)NC1=O,4.0,1.0,5,Z424328864,1972,5,CC1(c2cccc(NC(=O)c3ccc4c(c3)OCO4)c2)NC(=O)NC1=O,Z424328864,353.334,1.7222,y,vina + fingerprints,-999.0,1.0,,,,No pScore
CC1(NC(=O)NC1=O)C=2C=CC=C(NC(=O)C=3C=CC(=CC3)N4C=NC=N4)C2,CC1(NC(=O)NC1=O)C=2C=CC=C(NC(=O)C=3C=CC(=CC3)N4C=NC=N4)C2,C-1972-06,Z424331798,HTS,12.7,2-3 weeks,CC1(c2cccc(NC(=O)c3ccc(-n4cncn4)cc3)c2)NC(=O)NC1=O,5.0,1.0,6,Z424331798,1972,6,CC1(c2cccc(NC(=O)c3ccc(-n4cncn4)cc3)c2)NC(=O)NC1=O,Z424331798,376.376,1.5742,y,vina + fingerprints,-999.0,1.0,,,,No pScore
CC1(NC(=O)NC1=O)C=2C=CC=C(NC(=O)C=3C=NC=C(Br)C3)C2,CC1(NC(=O)NC1=O)C=2C=CC=C(NC(=O)C=3C=NC=C(Br)C3)C2,C-1972-07,Z424328848,HTS,12.7,2-3 weeks,CC1(c2cccc(NC(=O)c3cncc(Br)c3)c2)NC(=O)NC1=O,6.0,1.0,7,Z424328848,1972,7,CC1(c2cccc(NC(=O)c3cncc(Br)c3)c2)NC(=O)NC1=O,Z424328848,389.209,2.151,y,vina + fingerprints,-999.0,1.0,,,,No pScore
CC1OC=2C=CC(NC(=O)C3=CC=4COC=5C=CC=CC5C4S3)=CC2NC1=O,CC1OC=2C=CC(NC(=O)C3=CC=4COC=5C=CC=CC5C4S3)=CC2NC1=O,C-1972-08,Z110098782,HTS,12.7,2-3 weeks,CC1Oc2ccc(NC(=O)c3cc4c(s3)-c3ccccc3OC4)cc2NC1=O,7.0,1.0,8,Z110098782,1972,8,CC1Oc2ccc(NC(=O)c3cc4c(s3)-c3ccccc3OC4)cc2NC1=O,Z110098782,392.436,4.2792,y,vina + fingerprints,-999.0,1.0,,,,No pScore
CC=1C=C(C)N2N=CC(C3=NOC(=N3)C4CCOC=5C=CC=CC45)=C2N1,CC=1C=C(C)N2N=CC(C3=NOC(=N3)C4CCOC=5C=CC=CC45)=C2N1,C-1972-09,Z1170087494,HTS,12.7,2-3 weeks,Cc1cc(C)n2ncc(-c3noc(C4CCOc5ccccc54)n3)c2n1,8.0,1.0,9,Z1170087494,1972,9,Cc1cc(C)n2ncc(-c3noc(C4CCOc5ccccc54)n3)c2n1,Z1170087494,347.378,3.31054,y,vina + fingerprints,-999.0,1.0,,,,No pScore
CN1C(=O)N(C)C=2N=C(C=CC2C1=O)C(=O)NCC(N3CCCC3)C=4C(F)=CC=CC4Cl,CN1C(=O)N(C)C=2N=C(C=CC2C1=O)C(=O)NCC(N3CCCC3)C=4C(F)=CC=CC4Cl,C-1972-10,Z384410828,HTS,12.7,2-3 weeks,Cn1c(=O)c2ccc(C(=O)NCC(c3c(F)cccc3Cl)N3CCCC3)nc2n(C)c1=O,9.0,0.6428571428571430,10,Z384410828,1972,10,Cn1c(=O)c2ccc(C(=O)NCC(c3c(F)cccc3Cl)[NH+]3CCCC3)nc2n(C)c1=O,Z384410828,460.917,0.5745,y,vina + fingerprints,-999.0,1.0,,Z384410828,1.0,No pScore
