Participant ID,rank,smiles,Enamine catalog ID,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,Vina Score,Pharmaco score
1972,,Cc1ccc(F)c(CN(CC2CCC2)C(=O)NCc2cccc(C[NH+]3CCC(C)CC3)c2)c1,m_2708baa____3071132____20649810,452.634,4.461,,infinisee REAL + MMGBSA  + amine,-43.88,,,,
1972,,O=C(NCc1ccc(C[NH+]2CCCCCC2)cc1)Nc1cc(C(F)(F)F)ccc1N1CCCC1,m_2708caa____20619128____910858,475.576,4.586,,infinisee REAL + MMGBSA  + amine,-33.08,,,,
1972,,O=C(NCc1ccc(C[NH+]2CCCCCCC2)cc1)N(Cc1ccc(O)cc1)C1CC1,m_2708caa____4433148____913892,422.589,3.615,,infinisee REAL + MMGBSA  + amine,-37.1,,,,
1972,,NC(=O)c1cccc(CN(C(=O)NCc2ccc(C[NH+]3CCCCCC3)cc2)C2CC2)c1,m_2708baa____20619128____10687046,435.589,2.619,,infinisee REAL + MMGBSA  + amine,-37.65,,,,
1972,,CC1CC[NH+](Cc2ccc(CNC(=O)NCc3ccccc3N3CCC(CO)CC3)cc2)CC1,m_2708baa____907032____23881450,465.658,2.709,,infinisee REAL + MMGBSA  + amine,-43.09,,,,
1972,,CCCN(Cc1cc(F)ccc1F)C(=O)NCc1ccc(C[NH+]2CCCCCC2)cc1,m_2708baa____20619128____15504186,430.56,4.045,,infinisee REAL + MMGBSA  + amine,-43.36,,,,
1972,,O=C(Nc1ccc(C[NH+]2CCCC2)c(C(F)(F)F)c1)N[C@@H](c1ccccc1F)C1CCCC1,m_2430bbb____22525090____6958120,464.524,5.076,,infinisee REAL + MMGBSA  + amine,-54.04,,,,
1972,,O=C(NCc1ccc(C[NH+]2CCCCCCC2)cc1)N(Cc1ccc(F)cc1)C1CC1,m_2708baa____4433148____911844,424.581,4.049,,infinisee REAL + MMGBSA  + amine,-33.58,,,,
1972,,O=C(Nc1cccc(OCCn2cncn2)c1)Nc1ccc(C[NH+]2CCCC2)c(C(F)(F)F)c1,m_2430bbb____22525090____22590724,475.492,3.199,,infinisee REAL + MMGBSA  + amine,-48.2,,,,
1972,,O=C(Nc1ccc(C[NH+]2CCCC2)c(C(F)(F)F)c1)N[C@@H](c1cccc(C(F)(F)F)c1)C1CCC1,m_2430bbb____22525090____9966650,500.504,5.566,,infinisee REAL + MMGBSA  + amine,-45.19,,,,
1972,,O=C(NCc1ccc(C[NH+]2CCCCCC2)cc1)N(Cc1cc(F)cc(F)c1)C1CC1,m_2708baa____20619128____18368336,428.544,3.798,,infinisee REAL + MMGBSA  + amine,-44.67,,,,
1972,,O=C(NCc1ccc(C[NH+]2CCCCCC2)cc1)N(Cc1ccccc1OC(F)(F)F)C1CCCC1,m_2708baa____20619128____5730056,504.613,5.199,,infinisee REAL + MMGBSA  + amine,-50.02,,,,
1972,,O=C(Nc1ccc(C[NH+]2CCCC2)c(C(F)(F)F)c1)N[C@@H](c1cccc(F)c1)C1CCCC1,m_2430bbb____22525090____7026134,464.524,5.076,,infinisee REAL + MMGBSA  + amine,-52.25,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)N(Cc3ccccc3)CC(C)(C)C)c2)CC1,m_2708baa____3071132____3308284,422.633,4.259,,infinisee REAL + MMGBSA  + amine,-48.39,,,,
1972,,CC1CC[NH+](Cc2ccc(NC(=O)Nc3c(F)cccc3N3CCCC3)cc2)CC1,m_2430bbb____22522640____22582702,411.542,3.885,,infinisee REAL + MMGBSA  + amine,-45.91,,,,
1972,,O=C(Nc1ccc(C[NH+]2CCCC2)c(C(F)(F)F)c1)N[C@@H](c1ccccc1)C1CCCC1,m_2430bbb____22525090____2082906,446.534,4.937,,infinisee REAL + MMGBSA  + amine,-53.96,,,,
1972,,CC(C)CN(Cc1cccc(F)c1)C(=O)Nc1ccc(C[NH+]2CCCC2)c(C(F)(F)F)c1,m_2430bbb____22525090____2247284,452.513,4.713,,infinisee REAL + MMGBSA  + amine,-61.67,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)N(Cc3ccccc3)CC3(O)CCCC3)c2)CC1,m_2708baa____3071132____7116044,450.643,3.518,,infinisee REAL + MMGBSA  + amine,-43.93,,,,
1972,,O=C(NCc1ccc(C[NH+]2CCCCCC2)cc1)N(Cc1ccccc1C(F)(F)F)C1CC1,m_2708baa____20619128____1024188,460.561,4.538,,infinisee REAL + MMGBSA  + amine,-38.48,,,,
1972,,O=C(NCc1ccc(C[NH+]2CCCCCC2)cc1)N(Cc1cccc(O)c1)CC1CC1,m_2708baa____20619128____24020390,422.589,3.473,,infinisee REAL + MMGBSA  + amine,-45.52,,,,
1972,,O=C(NCc1ccc(C[NH+]2CCCCCC2)cc1)N(Cc1ccccc1O)C1CCCCC1,m_2708baa____20619128____5730016,450.643,4.396,,infinisee REAL + MMGBSA  + amine,-34.8,,,,
1972,,CCCCN(C(=O)NCc1cccc(C[NH+]2CCC(C)CC2)c1)[C@H](C)c1ccccc1,m_2708baa____3071132____5359080,422.633,4.574,,infinisee REAL + MMGBSA  + amine,-38.96,,,,
1972,,CC(C)CN(Cc1ccccc1F)C(=O)NCc1cccc(C[NH+]2CCCCCC2)c1,m_2708baa____2307424____2248152,426.596,4.152,,infinisee REAL + MMGBSA  + amine,-36.92,,,,
