Original_SMILES,New_SMILES,ID,Catalog ID,Collection,"Price(3 umol), USD",Lead time,canonical_smiles,most_similar_index,tanimoto_similarity,compound_rank,Enamine catalog ID_q,Participant ID,rank,smiles,Enamine catalog ID_local,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,similar_to,similarity_scores,bad_apples
CC=1C=C(C)N=C(C1)C(=O)NC=2C=CC=C(C2)C(C)(C)C=3N=NNN3,CC=1C=C(C)N=C(C1)C(=O)NC=2C=CC=C(C2)C(C)(C)C=3N=NNN3,C-1972-19,Z8740153266,mRDB,125.2,5-6 weeks,Cc1cc(C)nc(C(=O)Nc2cccc(C(C)(C)c3nn[nH]n3)c2)c1,18.0,0.65,19,PV-002939864165,1972,19,Cc1cc(C)nc(C(=O)Nc2cccc(C(C)(C)c3nnn[nH]3)c2)c1,PV-002939864165,336.39899,3.9555924,y,wim pharmacophore,-999.0,1.0,,,,No pScore
NCC1(CC1)C=2C=CC=C(C2)C(=O)NC=3C=CC=C(C3)C(F)(F)CF,NCC1(CC1)C=2C=CC=C(C2)C(=O)NC=3C=CC=C(C3)C(F)(F)CF,C-1972-147,Z8740154405,mRDB,125.2,5-6 weeks,NCC1(c2cccc(C(=O)Nc3cccc(C(F)(F)CF)c3)c2)CC1,146.0,0.7971014492753623,147,PV-003136762018,1972,147,[NH3+]CC1(c2cccc(C(=O)Nc3cccc(C(F)(F)CF)c3)c2)CC1,PV-003136762018,349.376,3.2737,y,classifier REAL + MMGBSA + amine,-49.77,,,,,No pScore
C[C@H](O)C=1C=CC=C(NC(=O)C=2C=CC=C(C2)C3(CN)CC3)C1,C[C@H](O)C=1C=CC=C(NC(=O)C=2C=CC=C(C2)C3(CN)CC3)C1,C-1972-142,Z8740154122,sRDB,83.2,5-6 weeks,C[C@H](O)c1cccc(NC(=O)c2cccc(C3(CN)CC3)c2)c1,141.0,0.7910447761194029,142,PV-003223205824,1972,142,C[C@H](O)c1cccc(NC(=O)c2cccc(C3(C[NH3+])CC3)c2)c1,PV-003223205824,311.405,2.2657,y,classifier REAL + MMGBSA + amine,-52.58,,,,,No pScore
CC=1C=C(N=C(C)N1)C(=O)NC=2C=CC=C(C2)C(C)(C)C=3N=NNN3,CC=1C=C(N=C(C)N1)C(=O)NC=2C=CC=C(C2)C(C)(C)C=3N=NNN3,C-1972-20,Z8740153286,mRDB,125.2,5-6 weeks,Cc1cc(C(=O)Nc2cccc(C(C)(C)c3nn[nH]n3)c2)nc(C)n1,19.0,0.6455696202531646,20,PV-003467937726,1972,20,Cc1cc(C(=O)Nc2cccc(C(C)(C)c3nnn[nH]3)c2)nc(C)n1,PV-003467937726,337.38699,3.2760222,y,wim pharmacophore,-999.0,1.0,,,,No pScore
CC(C)(C=1N=NNN1)C=2C=CC=C(NC(=O)C=3C=CC=C(CN4CCCC4)C3)C2,CC(C)(C=1N=NNN1)C=2C=CC=C(NC(=O)C=3C=CC=C(CN4CCCC4)C3)C2,C-1972-18,Z8740153242,mRDB,125.2,5-6 weeks,CC(C)(c1cccc(NC(=O)c2cccc(CN3CCCC3)c2)c1)c1nn[nH]n1,17.0,0.6956521739130435,18,PV-004216514549,1972,18,CC(C)(c1cccc(NC(=O)c2cccc(CN3CCCC3)c2)c1)c1nnn[nH]1,PV-004216514549,390.491,2.9715157,y,wim pharmacophore,-999.0,1.0,,,,No pScore
CC(C)(C=1N=NNN1)C=2C=CC=C(NC(=O)C=3C=CC(CN4CCCC4)=CC3)C2,CC(C)(C=1N=NNN1)C=2C=CC=C(NC(=O)C=3C=CC(CN4CCCC4)=CC3)C2,C-1972-15,Z8740153173,mRDB,125.2,5-6 weeks,CC(C)(c1cccc(NC(=O)c2ccc(CN3CCCC3)cc2)c1)c1nn[nH]n1,14.0,0.6818181818181818,15,PV-005418440569,1972,15,CC(C)(c1cccc(NC(=O)c2ccc(CN3CCCC3)cc2)c1)c1nnn[nH]1,PV-005418440569,390.491,2.3346574,y,wim pharmacophore,-999.0,1.0,,,,No pScore
CC1OC=2C=CC(NC(=O)C3=CC=4COC=5C=CC=CC5C4S3)=CC2NC1=O,CC1OC=2C=CC(NC(=O)C3=CC=4COC=5C=CC=CC5C4S3)=CC2NC1=O,C-1972-08,Z110098782,HTS,12.7,2-3 weeks,CC1Oc2ccc(NC(=O)c3cc4c(s3)-c3ccccc3OC4)cc2NC1=O,7.0,1.0,8,Z110098782,1972,8,CC1Oc2ccc(NC(=O)c3cc4c(s3)-c3ccccc3OC4)cc2NC1=O,Z110098782,392.436,4.2792,y,vina + fingerprints,-999.0,1.0,,,,No pScore
CC=1C=C(C)N2N=CC(C3=NOC(=N3)C4CCOC=5C=CC=CC45)=C2N1,CC=1C=C(C)N2N=CC(C3=NOC(=N3)C4CCOC=5C=CC=CC45)=C2N1,C-1972-09,Z1170087494,HTS,12.7,2-3 weeks,Cc1cc(C)n2ncc(-c3noc(C4CCOc5ccccc54)n3)c2n1,8.0,1.0,9,Z1170087494,1972,9,Cc1cc(C)n2ncc(-c3noc(C4CCOc5ccccc54)n3)c2n1,Z1170087494,347.378,3.31054,y,vina + fingerprints,-999.0,1.0,,,,No pScore
COC=1C=CC(=CC1)C2CCCCCN2CCC(=O)NC=3C=CC(=CC3)N4CCCC4=O,COC=1C=CC(=CC1)C2CCCCCN2CCC(=O)NC=3C=CC(=CC3)N4CCCC4=O,C-1972-112,Z126474592,HTS,12.7,2-3 weeks,COc1ccc(C2CCCCCN2CCC(=O)Nc2ccc(N3CCCC3=O)cc2)cc1,111.0,0.5384615384615384,112,Z126474592,1972,112,COc1ccc(C2CCCCC[NH+]2CCC(=O)Nc2ccc(N3CCCC3=O)cc2)cc1,Z126474592,436.576,3.3508,y,vina + MMGBSA,-60.66,,,,,No pScore
FC=1C=CC=2SCCC(NC(=O)C=3C=CC(NS(=O)(=O)C=4C=CC=5NC(=O)NC5C4)=CC3)C2C1,FC=1C=CC=2SCCC(NC(=O)C=3C=CC(NS(=O)(=O)C=4C=CC=5NC(=O)NC5C4)=CC3)C2C1,C-1972-90,Z131483750,HTS,12.7,2-3 weeks,O=C(NC1CCSc2ccc(F)cc21)c1ccc(NS(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)cc1,89.0,1.0,90,Z131483750,1972,90,O=C(NC1CCSc2ccc(F)cc21)c1ccc(NS(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)cc1,Z131483750,498.561,3.763,y,vina + MMGBSA,-63.21,,,,,No pScore
