Participant ID,rank,smiles,Enamine catalog ID,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,Vina Score,Pharmaco score
1972,,C[C@H](Sc1nncn1C)c1cccc(NC(=O)[C@]23CO[C@](C[NH3+])(C2)C3)c1,Z4194910272,373.48001,1.0030479,,wim pharmacophore,,1,,,
1972,,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)c1cccc(Cn2ccnn2)c1,Z2621742679,375.47601,3.628351,,wim pharmacophore,,1,,,
1972,,C[C@@H]1CCC[N@H+](Cc2ccc(NC(=O)c3cccc(Cn4ccnn4)c3)cc2)C1,Z2622538469,389.50299,3.9933236,,wim pharmacophore,,1,,,
1972,,CC(C)(c1cccc(NC(=O)c2ccc(CN3CCCC3)cc2)c1)c1nnn[nH]1,PV-005418440569,390.491,2.3346574,,wim pharmacophore,,1,,,
1972,,O=C(Nc1cccc(CN2CCCC2)c1)c1cccc(Cc2nnn[nH]2)c1,Z4412381053,362.43701,1.2274364,,wim pharmacophore,,1,,,
1972,,O=C(Nc1cccc(Cc2nnn[nH]2)c1)c1cccc(CN2CCCC2)c1,Z2911313247,362.43701,1.8583512,,wim pharmacophore,,1,,,
1972,,CC(C)(c1cccc(NC(=O)c2cccc(CN3CCCC3)c2)c1)c1nnn[nH]1,PV-004216514549,390.491,2.9715157,,wim pharmacophore,,1,,,
1972,,Cc1cc(C)nc(C(=O)Nc2cccc(C(C)(C)c3nnn[nH]3)c2)c1,PV-002939864165,336.39899,3.9555924,,wim pharmacophore,,1,,,
1972,,Cc1cc(C(=O)Nc2cccc(C(C)(C)c3nnn[nH]3)c2)nc(C)n1,PV-003467937726,337.38699,3.2760222,,wim pharmacophore,,1,,,
1972,,Cn1cnnc1Sc1ccc(NC(=O)[C@]23CO[C@](C[NH3+])(C2)C3)cc1,Z3099733423,345.42001,0.63008803,,wim pharmacophore,,1,,,
1972,,[NH3+]C[C@@H]1CCCN(C(=O)c2cccc(OCc3cscn3)c2)C1,Z2301730404,331.42999,1.29164,,wim pharmacophore,,1,,,
1972,,[NH3+]C[C@]12C[C@](C(=O)Nc3cccc(Cn4cnnc4)c3)(CO1)C2,Z3103871141,313.36099,-0.51843834,,wim pharmacophore,,1,,,
1972,,Cn1ccnc1COc1ccc(C(=O)N2CCC[C@H](C[NH3+])C2)cc1,Z2440037276,328.41599,0.72974783,,wim pharmacophore,,1,,,
1972,,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)C1(n2cnnn2)CCCCC1,Z2473323915,368.48499,3.0841775,,wim pharmacophore,,1,,,
1972,,Cc1nc(COc2cccc(C(=O)N3CCCC[C@H](C[NH3+])C3)c2)no1,Z3144506726,344.41501,1.3787732,,wim pharmacophore,,1,,,
1972,,O=C(Nc1cccc(C[NH+]2CCCC2)c1)C1(n2cnnn2)CCOCC1,Z2621693769,356.42999,0.8015244,,wim pharmacophore,,1,,,
1972,,CC(C)(C(=O)Nc1cccc(C[NH+]2CCCCC2)c1)n1cnnn1,Z3295407853,328.42001,2.05829,,wim pharmacophore,,1,,,
1972,,O=C(Nc1cccc(C[NH+]2CCCC2)c1)C1(n2cnnn2)CCCCC1,Z2473316968,354.45801,2.6396089,,wim pharmacophore,,1,,,
1972,,CC(C)(C(=O)Nc1cccc(C[NH+]2CCCC2)c1)n1cnnn1,Z3295389817,314.39301,1.6137213,,wim pharmacophore,,1,,,
1972,,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)C1(n2cnnn2)CC1,Z2621742909,326.40399,1.7504715,,wim pharmacophore,,1,,,
1972,,Cc1nc(COc2cccc(C(=O)N3CCC[C@H](C[NH3+])C3)c2)no1,Z2440040050,330.388,0.958534,,wim pharmacophore,,1,,,
1972,,O=C(Nc1cccc(C[NH+]2CCCC2)c1)C1(n2cnnn2)CC1,Z2621693915,312.37701,1.3059028,,wim pharmacophore,,1,,,
