sdf_file_ix,COMPOUND_NAMES,Reference,IC50_range_nM,smiles
0,"Compound 107 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@@H](c1cccc(c1)c1c2ccccc2[nH]n1)Sc1nncn1C
1,"Compound 108 (R) (Page No: 79, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@H](c1cccc(c1)c1c2ccccc2[nH]n1)Sc1nncn1C
2,"Compound 102 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@@H](c1cccc(c1)c1cc(c2ccccc2)n[nH]1)Sc1nncn1C
3,"Compound 103 (R) (Page No: 79, Table No: 1)",WO 2021/021761 A1,>5000,C[C@H](c1cccc(c1)c1cc(c2ccccc2)n[nH]1)Sc1nncn1C
4,"Compound 104 (Page No: 79, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)c1cc(c2cccc(c2)OC)n[nH]1)Sc1nncn1C
5,"Compound 99 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@@H](c1cccc(c1)n1ncc(c2ccccc2)n1)Sc1nncn1C
6,"Compound 100 (R) (Page No: 79, Table No: 2)",WO 2021/021761 A1,>5000,C[C@H](c1cccc(c1)n1ncc(c2ccccc2)n1)Sc1nncn1C
7,"Compound 84 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1ncc(c2ccc(CO)cc2)n1)Sc1nncn1C
8,"Compound 78 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1ncc(c2cccc(c2)[Cl])n1)Sc1nncn1C
9,"Compound 72 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1ncc(c2ccc(cc2)[Cl])n1)Sc1nncn1C
10,"Compound 88 (S) (Page No: 58, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@@H](c1cccc(c1)n1ncc(c2ccc(C#N)cc2)n1)Sc1nncn1C
11,"Compound 97 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1ncc(c2cccc(C#N)c2)n1)Sc1nncn1C
12,"Compound 74 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@@H](c1cccc(c1)n1ncc(c2ccc(cc2)OC)n1)Sc1nncn1C
13,"Compound 76 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1ncc(c2cccc(c2)OC)n1)Sc1nncn1C
14,"Compound 95 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,101-1000,C[C@@H](c1cccc(c1)n1ncc(c2cccc(c2)C(N)=O)n1)Sc1nncn1C
15,"Compound 86 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1ncc(c2ccc(cc2)C(N)=O)n1)Sc1nncn1C
16,"Compound 93 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1ncc(c2cccc(c2)C(NC)=O)n1)Sc1nncn1C
17,"Compound 82 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1ncc(c2ccc(cc2)C(NC)=O)n1)Sc1nncn1C
18,"Compound 90 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1ncc(c2cccc(c2)C(O)=O)n1)Sc1nncn1C
19,"Compound 80 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)n1ncc(c2ccc(cc2)C(O)=O)n1)Sc1nncn1C
20,"Compound 101 (Page No: 79, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1ccnc(c1)n1ncc(c2ccccc2)n1)Sc1nncn1C
21,"Compound 167 (Page No: 80, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1cc(c2ccccc2)nn1)Sc1nncn1C
22,"Compound 92 (S) (Page No: 79, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)n1cc(c2cccc(CO)c2)nn1)Sc1nncn1C
23,"Compound 85 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,>5000,C[C@@H](c1cccc(c1)n1cc(c2ccc(CO)cc2)nn1)Sc1nncn1C
24,"Compound 75 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1cc(c2ccc(cc2)OC)nn1)Sc1nncn1C
25,"Compound 77 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1cc(c2cccc(c2)OC)nn1)Sc1nncn1C
26,"Compound 79 (S) (Page No: 78, Table No: 2)",WO 2021/021761 A1,1001-5000,C[C@@H](c1cccc(c1)n1cc(c2cccc(c2)[Cl])nn1)Sc1nncn1C
