SMILES,ZINC_ID,ZINC_Protonation_ID
c1ccc(cc1)c2c(c3ccccc3[nH]2)C(=O)CN4C(=O)C(=O)N(C4=O)C5CCCC5,C05628470,P08385876
CC(C)(C)NC(=O)CN1c2cc(ccc2SCC1=O)S(=O)(=O)N3CCCCC3,C04710436,P09396219
Cc1cc(c(n1c2ccc(cc2)C(=O)OC)C)/C=C\3/C(=O)N(C(=O)N3)c4ccccc4,C00660418,P13154528
Cc1ccc2c(c1)c(=O)c3c(o2)C(=O)N([C@@]34c5ccccc5N(C4=O)CC=C)CCCO,C08915656,P13684409
Cc1ccc(cc1)S(=O)(=O)N2[C@H](CCC2=O)C(=O)Nc3cc(ccc3OC)Cl,C00814442,P13833657
c1ccc2c(c1)CCC[C@@]23C(=O)N(C(=O)N3)CC(=O)c4cn(c5c4cccc5)CCC#N,C09205993,P14183514
c1ccc2c(c1)c(=O)n(c(n2)SCc3[nH]c(=O)c4c(n3)ccs4)C[C@@H]5CCCO5,C11363794,P16907646
c1ccc(cc1)c2nc3c(c(n2)N4CCC(CC4)C(=O)NC[C@@H]5COCCO5)CCC3,C12707091,P18680437
CCOC(=O)C1=C(N(C(=O)N[C@@H]1c2ccc(cc2F)F)[C@H]3CCS(=O)(=O)C3)C,C12756505,P18752038
Cc1ccc(cc1)S(=O)(=O)N2CCC(CC2)NS(=O)(=O)N3CCC(CC3)C,C12972322,P19063035
c1c(c(sc1C(=O)NCCn2cc(cn2)[N+](=O)[O-])Br)Br,C02777630,P21475628
CC#CC(=O)N1CCC(CC1)[C@]2(C(=O)N(C(=O)N2)CCc3cccs3)c4ccccn4,C14978447,P22771013
Cc1ccccc1CNS(=O)(=O)c2ccc(cc2)N3C(=O)C(CS3(=O)=O)(C)C,C16666433,P25146473
Cc1c(c(c(c(c1C)C)S(=O)(=O)N2CCN(CC2)C(=O)[C@@H](C(C)C)NC(=O)C)C)C,C18013478,P26908648
COc1ccc(c(c1OC)OC)/C=C\2/C(=O)NC(=S)N(C2=O)c3ccc(cc3)Cl,C16977490,P29232704
c1ccc(cc1)C[C@H]2C(=O)N(C(=O)N2)Cc3nnc(o3)c4ccc(cc4)Br,C20823138,P31068409
Cc1ccc(cc1)CN2C(=O)CN(C[C@@]2(C)C(=O)NC3CCCCCC3)S(=O)(=O)C,C20927918,P31243885
